ClimateZone	Date	Rain	AirTemperatureMax	AirTemperatureMin	GlobalSolarRadiation	WindSpeed	ReferenceEvapotranspiration
C02	01-01-1982	46.3	3.7	0.7	1.198	0.9	0.3
C02	02-01-1982	9.5	8.4	-1.3	2.608	1.6	0.4
C02	03-01-1982	0	5.4	-2.6	2.939	0.6	0.2
C02	04-01-1982	1.1	6.5	-2.8	3.279	0.7	0.2
C02	05-01-1982	0	4.9	-2.6	2.866	0.7	0.1
C02	06-01-1982	0	10.7	-1.9	4.151	2.1	0.3
C02	07-01-1982	0	-2.9	-4.9	1.859	4.2	1
C02	08-01-1982	0	-5.5	-13.3	3.056	1.2	0.2
C02	09-01-1982	0	-5.3	-5.2	3.18	1.4	0.3
C02	10-01-1982	2.3	-6.8	-9.6	1.245	1.2	0.3
C02	11-01-1982	0.7	-5.2	-10.9	2.47	0.7	0.1
C02	12-01-1982	0	-2.8	-9.7	2.873	0.8	0.2
C02	13-01-1982	0.3	-7.5	-15.5	3.327	0.6	0.1
C02	14-01-1982	0	-5.4	-16.1	4.053	0.9	0.1
C02	15-01-1982	0	-8.3	-9.6	2.941	1	0.2
C02	16-01-1982	0	-8.2	-10	0.941	0.8	0.3
C02	17-01-1982	0	1.8	-10.4	3.392	0.6	0.3
C02	18-01-1982	0	-6.5	-8.5	1.087	0.7	0.3
C02	19-01-1982	0	-6.7	-8.7	1.11	0.8	0.3
C02	20-01-1982	0	-7.5	-7.5	1.951	0.7	0.3
C02	21-01-1982	0	-6.1	-8.5	1.466	0.9	0.3
C02	22-01-1982	0.8	-5.5	-6.8	2.734	0.8	0.3
C02	23-01-1982	0	-1.6	-10.6	4.173	0.7	0.1
C02	24-01-1982	0	-0.8	-6	2.943	0.6	0.2
C02	25-01-1982	0	-1.3	-3	1.065	0.9	0.4
C02	26-01-1982	0.8	-3	-6.7	2.266	1.5	0.4
C02	27-01-1982	2	-1.1	-5.6	3.46	0.9	0.3
C02	28-01-1982	1.2	3.3	-4.3	4.112	0.4	0.2
C02	29-01-1982	0.8	3.5	-4	4.179	0.8	0.3
C02	30-01-1982	0.2	6.7	-4.5	4.848	1.2	0.3
C02	31-01-1982	0	10.5	1.4	4.87	4.3	1.4
C02	01-02-1982	0.8	4.6	-1.6	3.839	3.9	1.4
C02	02-02-1982	0	0.6	-5.6	5.008	3.6	0.5
C02	03-02-1982	0	0.7	-8.5	5.198	1.2	0.3
C02	04-02-1982	0	0.6	-9.8	5.678	1	0.3
C02	05-02-1982	1	3.2	-9.1	5.693	1.4	0.4
C02	06-02-1982	0	4.6	-9.7	7.119	0.8	0.3
C02	07-02-1982	0	10.1	-2.6	6.779	0.5	0.5
C02	08-02-1982	0	7.8	-4	6.585	1.6	0.5
C02	09-02-1982	0.6	8.6	1.5	4.871	2.6	1.2
C02	10-02-1982	0	6.9	-5	6.848	1	0.5
C02	11-02-1982	0	2.4	-4.2	4.613	1.6	0.4
C02	12-02-1982	0	-1.1	-2.8	1.803	0.9	0.4
C02	13-02-1982	0	-2.2	-3.3	1.276	0.8	0.4
C02	14-02-1982	0	-2.9	-4	1.233	1	0.4
C02	15-02-1982	0	-2.8	-4.3	1.733	0.7	0.4
C02	16-02-1982	0	2	-3.5	4.74	0.7	0.4
C02	17-02-1982	0	5	-0.5	5.742	0.7	0.6
C02	18-02-1982	0	2.2	-1.2	3.401	0.9	0.6
C02	19-02-1982	0.1	1.5	-1.3	3.112	1.4	0.6
C02	20-02-1982	0	-0.2	-4.5	4.266	1.8	0.8
C02	21-02-1982	0	-0.9	-10.5	7.311	1.1	0.5
C02	22-02-1982	4	-5.2	-9.1	4.21	1.9	0.3
C02	23-02-1982	1	-3.1	-8.1	5.018	1.2	0.5
C02	24-02-1982	0	-1.3	-12.4	8.337	0.7	0.3
C02	25-02-1982	1.8	3.7	-5.8	6.726	1.2	0.7
C02	26-02-1982	1	6.7	-3.1	7.862	2.1	0.9
C02	27-02-1982	0	4.1	-5.8	8.038	1.2	0.8
C02	28-02-1982	0	6.8	-8.3	9.122	1.1	0.8
C02	01-03-1982	0	12	-2.5	10.483	0.7	0.9
C02	02-03-1982	1.6	4.7	-0.4	5.649	1.8	0.6
C02	03-03-1982	0	9.3	-1.6	9.235	2.4	1.3
C02	04-03-1982	0	12.7	-0.9	10.566	1.9	1.3
C02	05-03-1982	0	9	3	6.724	3.5	1.6
C02	06-03-1982	0	6.8	0.8	7.393	4.1	1.6
C02	07-03-1982	2	4.8	-1	9.395	1.9	1.2
C02	08-03-1982	0.2	6	0.2	6.907	1.2	0.9
C02	09-03-1982	0	6.9	-2.3	9.059	1.6	1
C02	10-03-1982	0	11.8	-4.3	12.648	3.2	1.4
C02	11-03-1982	1.1	8.8	4.2	6.118	5.5	2.3
C02	12-03-1982	0	9.9	-1.3	10.603	2.5	1.6
C02	13-03-1982	0	6.5	1	7.162	2.1	1.3
C02	14-03-1982	0	8.2	-1.5	10.03	4.2	1.8
C02	15-03-1982	0	9.4	-3.6	12.015	1.6	1.3
C02	16-03-1982	0	10.5	-3.1	12.481	2.2	1.5
C02	17-03-1982	0	13.2	-2	13.484	3.1	1.8
C02	18-03-1982	0.5	7.1	2.2	7.008	2.1	1
C02	19-03-1982	6.7	9.1	1	9.723	2.1	1.3
C02	20-03-1982	0	9.5	-2.4	12.179	2.5	1.4
C02	21-03-1982	0	7.2	1.4	8.24	1.6	1.2
C02	22-03-1982	0	5.6	0.9	7.41	2.1	1.3
C02	23-03-1982	0.1	7.2	-1.1	10.317	2.6	1.5
C02	24-03-1982	0	10.1	-3.5	13.772	2	1.5
C02	25-03-1982	0	11.4	-3.8	14.877	1.2	1.5
C02	26-03-1982	0	15.5	-2.1	16.265	1.5	1.9
C02	27-03-1982	0	18.7	-0.1	17.012	1.7	2.1
C02	28-03-1982	0	17.3	2.7	14.907	3.1	2.6
C02	29-03-1982	0	17.7	6.6	13.053	2.6	2.5
C02	30-03-1982	6.1	9.3	4	8.726	1.8	1.2
C02	31-03-1982	3.3	10.5	6.2	7.813	1.9	1.3
C02	01-04-1982	0	12	5.5	9.923	1.3	1.5
C02	02-04-1982	0	15.2	3.1	14.332	1.7	1.9
C02	03-04-1982	4.1	17.2	3.4	15.546	1.9	2.1
C02	04-04-1982	0.2	16	6	13.191	4.1	2.9
C02	05-04-1982	0	16.4	2.3	16.059	2.8	2.4
C02	06-04-1982	0	20.7	2.6	18.514	2.2	2.7
C02	07-04-1982	0.2	14.8	7.7	11.064	2	1.9
C02	08-04-1982	0.2	18.6	6	15.593	2.4	2.5
C02	09-04-1982	1.3	10.9	5	10.303	4.8	2.9
C02	10-04-1982	0	9.7	-1.7	15.008	1.9	1.8
C02	11-04-1982	0	13.2	-2.1	17.76	2	2
C02	12-04-1982	0.2	11	3.5	11.012	2.6	2
C02	13-04-1982	3.8	4.4	0.4	8.461	1.5	1
C02	14-04-1982	2.5	11.4	0.9	13.364	3	2.4
C02	15-04-1982	0	10	2.7	12.349	1.8	2.3
C02	16-04-1982	0	13.1	3.8	14.209	1.4	2.3
C02	17-04-1982	0	15.8	3.9	16.308	1.9	2.6
C02	18-04-1982	0.1	13.4	3	15.252	2.2	2.4
C02	19-04-1982	0	10	-0.6	15.559	2.3	2
C02	20-04-1982	0	11.4	-1.4	17.411	2.5	2.3
C02	21-04-1982	0	12.5	-1.5	18.352	2.7	2.6
C02	22-04-1982	0.4	9.9	1	14.485	2.8	2.3
C02	23-04-1982	0.8	9.3	0.6	14.418	2.4	2.3
C02	24-04-1982	0	13.2	-3.1	20.411	1.9	2.6
C02	25-04-1982	0	13.6	3.9	15.571	3.3	3
C02	26-04-1982	0	16.3	2	19.216	3.1	3.3
C02	27-04-1982	0.8	9.2	3.2	12.128	5.3	2.8
C02	28-04-1982	0	13.2	2.5	16.684	5.1	3.7
C02	29-04-1982	0.7	13.9	4.9	15.275	2.9	2.9
C02	30-04-1982	0	12.2	1	17.331	4.7	3.3
C02	01-05-1982	0	9.4	-0.5	16.26	1.5	2.2
C02	02-05-1982	0	16.2	-0.2	21.611	2.3	3
C02	03-05-1982	0	20.2	2.3	22.774	2.2	3.5
C02	04-05-1982	0	22.6	4.9	22.729	4.6	4.6
C02	05-05-1982	0	20	10.7	16.165	5.9	4.6
C02	06-05-1982	0	22.2	8.4	20.156	3.7	4.2
C02	07-05-1982	0	20.7	10.5	17.098	3.5	4.1
C02	08-05-1982	6	8.5	6.8	6.19	1.3	1.2
C02	09-05-1982	12.2	15.1	6.1	16.323	1.7	2.4
C02	10-05-1982	6.5	13.4	9.7	9.897	1.3	1.6
C02	11-05-1982	35.6	17.2	9.4	15.101	2.3	2.9
C02	12-05-1982	0	17.7	5.2	19.798	1.9	3.1
C02	13-05-1982	0	18	7.2	18.408	2.4	3.4
C02	14-05-1982	0	21	5.2	22.58	2.6	3.9
C02	15-05-1982	0	21	7.2	21.183	1.5	3.6
C02	16-05-1982	0	23.2	6.7	23.386	1.7	3.9
C02	17-05-1982	0	24.7	8.4	23.298	1.7	4.1
C02	18-05-1982	0	24.8	11.2	21.219	1.8	4.1
C02	19-05-1982	0.2	25	9.9	22.499	2	4.2
C02	20-05-1982	0	24	10.7	19.768	1.5	3.8
C02	21-05-1982	28.2	20.4	11.8	16.908	1.4	3
C02	22-05-1982	9.4	25.4	9.5	23.464	2	4.3
C02	23-05-1982	9.2	20.6	13	17.777	1.4	3.4
C02	24-05-1982	31	13.4	10.1	14.289	1.9	2.7
C02	25-05-1982	0	19.4	6.3	21.328	3.3	3.9
C02	26-05-1982	0	21.4	7.5	22.096	1.2	3.6
C02	27-05-1982	0	25.2	9.1	22.43	1.5	4
C02	28-05-1982	0	26.5	11.2	23.34	1.6	4.4
C02	29-05-1982	3.8	17.6	14.3	9.843	3.8	2.9
C02	30-05-1982	0	18.4	9.9	17.2	2	3.3
C02	31-05-1982	0	23.5	12.2	20.131	1.2	3.9
C02	01-06-1982	0	25.8	9.4	24.586	1.2	4.4
C02	02-06-1982	0	27.2	10.1	25.174	1.4	4.7
C02	03-06-1982	0	27.9	11.2	24.849	1.6	4.8
C02	04-06-1982	0	28.5	11.2	25.378	1.6	4.9
C02	05-06-1982	0	26.9	12.9	22.747	1.4	4.5
C02	06-06-1982	0	29	11.4	25.702	2	5.1
C02	07-06-1982	0	27.7	13.2	23.21	1.8	4.8
C02	08-06-1982	0	23	14.4	17.631	1.4	3.7
C02	09-06-1982	0	26.8	13	22.814	1.6	4.6
C02	10-06-1982	7.6	25	15.4	18.871	1.8	4
C02	11-06-1982	0.2	25.6	12.4	22.361	2.1	4.4
C02	12-06-1982	23.9	23.9	16.6	16.157	3.5	4.1
C02	13-06-1982	14.6	16.4	11.4	13.162	1.6	2.5
C02	14-06-1982	3.3	19.1	9.8	18.548	3.5	4.2
C02	15-06-1982	0	19.4	5.8	22.696	1.6	3.7
C02	16-06-1982	0.2	19.2	7.9	20.604	1.5	3.4
C02	17-06-1982	0.5	20.2	9.3	20.244	2.3	3.8
C02	18-06-1982	0	20.7	11.4	18.584	1.4	3.5
C02	19-06-1982	1.4	18.2	13.2	16.979	1.4	3.5
C02	20-06-1982	0	23.1	11.2	21.251	2.1	4.2
C02	21-06-1982	0	25.5	10	24.479	1.7	4.4
C02	22-06-1982	3.2	26	14	21.305	2.1	4.4
C02	23-06-1982	0	29.4	15.4	23.102	2.9	5.3
C02	24-06-1982	4.4	24.1	14.2	19.313	1.5	4
C02	25-06-1982	0	26.6	12.6	23.101	2.3	4.7
C02	26-06-1982	0	29.9	16.5	22.388	2.9	5.2
C02	27-06-1982	10.6	20.5	13.9	16.777	2.3	3.5
C02	28-06-1982	1.3	23.2	11.5	20.945	2	4.2
C02	29-06-1982	8.9	22	10	19.807	1.2	3.6
C02	30-06-1982	12	22.4	11.7	19.876	2	4
C02	01-07-1982	0	22.2	10.9	20.525	1.4	3.8
C02	02-07-1982	0	24.9	13.1	20.977	1.6	4.2
C02	03-07-1982	0	27.7	13.2	22.116	1.8	4.5
C02	04-07-1982	25	27.3	14.9	20.383	2.5	4.6
C02	05-07-1982	0	25.2	11.4	22.692	1.9	4.3
C02	06-07-1982	0	25.7	13.3	21.381	1.8	4.3
C02	07-07-1982	8.4	23.9	14.3	18.538	3.4	4.4
C02	08-07-1982	0	23.5	12.5	19.989	2.2	4.2
C02	09-07-1982	0	24.9	12	21.615	1.4	4.1
C02	10-07-1982	0	25.8	11.3	23.057	2.5	4.6
C02	11-07-1982	0.3	25.9	13.7	20.759	3	4.6
C02	12-07-1982	23.5	23.9	16.4	15.904	2.7	3.8
C02	13-07-1982	0	26.3	13.7	21.191	1.9	4.3
C02	14-07-1982	0.7	25.4	13.7	20.376	1.6	4
C02	15-07-1982	0	28.2	14.8	21.77	1.4	4.3
C02	16-07-1982	1.3	28.7	17.5	19.729	1.2	4.3
C02	17-07-1982	0	27.8	16.1	20.189	1.5	4.2
C02	18-07-1982	0.7	22	16.4	13.293	2.3	2.9
C02	19-07-1982	0.5	26.3	15.1	19.493	1.9	4
C02	20-07-1982	0	28.9	16.4	20.627	1.6	4.4
C02	21-07-1982	0	30	16	21.796	1.6	4.6
C02	22-07-1982	0.2	29.2	15	21.9	1.9	4.6
C02	23-07-1982	3.1	25	17.1	15.957	2.1	3.5
C02	24-07-1982	22.7	24.4	16.8	15.562	1.5	3.2
C02	25-07-1982	12.6	23.7	15.1	16.589	2.2	3.4
C02	26-07-1982	12.9	21.9	15.4	14.211	2.9	3.2
C02	27-07-1982	0.6	21.4	15.5	13.302	3.2	3.4
C02	28-07-1982	0	23.3	12.4	18.475	1.6	3.5
C02	29-07-1982	0	25.9	13.8	19.519	1.5	3.8
C02	30-07-1982	0	23.9	14.4	17.022	1.6	3.5
C02	31-07-1982	7.9	24.5	14.2	18.362	2	3.7
C02	01-08-1982	6.2	26.5	12.4	20.878	2.2	4.2
C02	02-08-1982	0	25.2	12.9	19.367	1.8	3.7
C02	03-08-1982	0	25.3	16.4	17.445	2.4	3.9
C02	04-08-1982	4.1	25.5	15.8	17.634	2	3.7
C02	05-08-1982	12.5	22.2	14.6	16.2	1.4	3.3
C02	06-08-1982	0	25.4	13.8	18.294	1.6	3.5
C02	07-08-1982	0	24	14.9	15.989	1.6	3.1
C02	08-08-1982	3	24.5	14.5	16.978	1.5	3.4
C02	09-08-1982	15.5	24.2	14	16.803	1.5	3.2
C02	10-08-1982	0	24.2	13.9	17.567	1.4	3.5
C02	11-08-1982	0	26.5	15.1	17.6	1.9	3.7
C02	12-08-1982	0	27.3	14.1	18.897	1.9	3.8
C02	13-08-1982	0	27.4	15.6	18.328	2.2	3.9
C02	14-08-1982	2	28.6	15.7	18.418	2.2	4
C02	15-08-1982	0.6	27.4	16.9	16.353	1.6	3.5
C02	16-08-1982	0	28.5	16.8	17.327	1.4	3.8
C02	17-08-1982	16.1	25.6	15	16.265	1.9	3.3
C02	18-08-1982	0.2	25	12.3	18.214	1.8	3.4
C02	19-08-1982	0	26	13.4	17.677	2.2	3.6
C02	20-08-1982	1.4	25.5	14.7	16.062	2.7	3.3
C02	21-08-1982	12.8	15.8	12.8	13.081	1.9	2.6
C02	22-08-1982	1.6	21	11.8	14.555	2.8	3.2
C02	23-08-1982	0	22.6	7.4	18.85	1.6	3
C02	24-08-1982	0	23.1	9.3	17.783	1.7	3
C02	25-08-1982	0	22.6	10.9	16.107	2.1	3
C02	26-08-1982	0	25.5	11.1	17.897	2.4	3.3
C02	27-08-1982	0	26.5	11.8	17.985	2.3	3.4
C02	28-08-1982	10.3	19.4	14.5	9.622	1.4	1.7
C02	29-08-1982	6.7	16.9	14	7.19	2.4	1.7
C02	30-08-1982	0	19.3	12	11.888	1.4	2.1
C02	31-08-1982	0	22.2	9.2	16.223	2	2.6
C02	01-09-1982	0	20.4	13.4	11.49	0.9	2.1
C02	02-09-1982	0	22.4	10.5	14.956	1.2	2.5
C02	03-09-1982	0	22.8	11	14.996	1.7	2.5
C02	04-09-1982	0	23.9	11.2	15.41	1.6	2.6
C02	05-09-1982	0	24.2	11.6	15.149	1.4	2.6
C02	06-09-1982	0	28.5	15.1	15.557	2.9	3.5
C02	07-09-1982	0	25.4	13.5	14.412	2.2	2.8
C02	08-09-1982	47	24.8	14.2	13.439	2.6	2.8
C02	09-09-1982	5.3	22.4	12.5	12.377	2.3	2.5
C02	10-09-1982	0	22.1	12.7	12.287	1.7	2.3
C02	11-09-1982	0	24.6	12.3	14.168	1.3	2.4
C02	12-09-1982	0	25.3	12.9	14.009	1.2	2.5
C02	13-09-1982	0	24	11.4	14.037	1.4	2.4
C02	14-09-1982	0	24.6	11.5	14.171	1.2	2.3
C02	15-09-1982	0	24.7	10.6	14.545	1.5	2.4
C02	16-09-1982	0	25.2	10.3	14.824	1.2	2.4
C02	17-09-1982	0	24.5	9.2	14.943	1.2	2.2
C02	18-09-1982	0	24.3	9.9	14.24	1.1	2.2
C02	19-09-1982	0	23.6	9.6	13.881	0.8	2
C02	20-09-1982	0	23.7	9.3	13.894	0.9	1.9
C02	21-09-1982	0	23.3	12.6	11.603	1	1.9
C02	22-09-1982	0	25.4	14.9	11.393	1.5	2.3
C02	23-09-1982	0	20.3	12.2	9.719	1.6	1.6
C02	24-09-1982	20	14.9	10	7.162	1.3	1.2
C02	25-09-1982	0.5	14.7	10.2	6.678	0.6	1
C02	26-09-1982	0	24	12.5	11.451	3	2.2
C02	27-09-1982	0	22.1	12	10.394	2.4	1.9
C02	28-09-1982	0	19.9	13.9	7.623	1.2	1.5
C02	29-09-1982	0	21.1	11.8	9.689	0.9	1.6
C02	30-09-1982	0	19.4	8.4	10.676	1.2	1.4
C02	01-10-1982	29	15.1	11.1	5.745	1.5	0.8
C02	02-10-1982	5.3	15.9	10.9	6.933	1.8	1.3
C02	03-10-1982	13.1	15.9	9.6	7.333	1.8	1.2
C02	04-10-1982	1	12.7	7.3	6.576	1.4	1
C02	05-10-1982	27.4	14.2	7.7	9.242	1.5	1.4
C02	06-10-1982	19.1	13.2	9.4	5.172	3	1
C02	07-10-1982	1.3	16.9	6.9	8.954	4.6	1.7
C02	08-10-1982	2.6	13	7.7	5.983	2.1	1.1
C02	09-10-1982	27	9.6	3.5	6.572	1.2	0.6
C02	10-10-1982	0	15.7	6.8	8.108	1.3	1.1
C02	11-10-1982	0	16.5	2.6	10.265	1.1	0.9
C02	12-10-1982	7.4	10.9	6.6	6.11	1.1	0.9
C02	13-10-1982	0	14.9	4.7	8.296	3.4	1.1
C02	14-10-1982	15.8	12.9	8.4	5.471	2.1	1
C02	15-10-1982	5.5	13.7	6.5	6.541	1.5	0.9
C02	16-10-1982	0	15.2	2.1	9.195	1.5	1
C02	17-10-1982	0	13	0.4	8.88	1.2	0.7
C02	18-10-1982	0	16.8	1.8	9.627	1.2	0.8
C02	19-10-1982	0	13.3	3.7	7.024	1.1	0.6
C02	20-10-1982	0.6	15.7	9.3	5.631	1.4	0.9
C02	21-10-1982	0	13.5	7.3	5.393	1.7	0.7
C02	22-10-1982	0	17.7	8.4	6.85	2.3	1.1
C02	23-10-1982	0.2	14.7	8.6	6.18	1.9	0.8
C02	24-10-1982	1.7	19	8.9	6.943	1.4	0.9
C02	25-10-1982	0	14.8	10.7	3.849	1.9	1
C02	26-10-1982	0.1	14.5	7.9	5.184	1.4	0.8
C02	27-10-1982	0	15.6	3.5	7.358	1.2	0.6
C02	28-10-1982	0	12.9	3.9	6.041	1.1	0.5
C02	29-10-1982	0	13.1	7.9	4.18	0.8	0.6
C02	30-10-1982	0	12.4	4.8	5.079	1.1	0.7
C02	31-10-1982	0	9.5	1.6	5.227	1.2	0.4
C02	01-11-1982	0	7.6	3.2	3.416	0.9	0.6
C02	02-11-1982	0	5.6	2.8	2.439	1.2	0.4
C02	03-11-1982	0	4.9	3.4	1.394	1	0.5
C02	04-11-1982	0.2	4.7	3.2	1.438	0.5	0.4
C02	05-11-1982	0	7.7	2.6	3.606	1.8	0.6
C02	06-11-1982	0	4.6	-0.2	4.487	1.4	0.6
C02	07-11-1982	0	2.9	-6.4	5.175	1.2	0.4
C02	08-11-1982	0	5.4	-5.3	5.564	2.8	0.3
C02	09-11-1982	0	13.5	2.7	5.354	3.8	0.9
C02	10-11-1982	0.3	12.7	5.6	3.906	1.1	0.4
C02	11-11-1982	0.2	11.7	8.4	2.181	0.9	0.6
C02	12-11-1982	0	8.5	4	2.57	1.1	0.4
C02	13-11-1982	0	11.5	4.3	4.697	2.5	0.5
C02	14-11-1982	37.6	7.8	3.4	3.946	2.6	0.5
C02	15-11-1982	0	8.2	1.6	3.558	1	0.4
C02	16-11-1982	0	6	0.8	2.981	1.3	0.3
C02	17-11-1982	0	5.9	1.5	2.542	1.8	0.7
C02	18-11-1982	0	8.4	-3	4.84	1.5	0.5
C02	19-11-1982	0	11.8	0.5	4.738	1.6	0.6
C02	20-11-1982	0.3	10.6	1.5	4.018	0.8	0.3
C02	21-11-1982	0	9.4	-2.3	4.7	1.3	0.2
C02	22-11-1982	0	5.5	-1	3.044	1.1	0.2
C02	23-11-1982	0	4.6	-1.9	2.976	0.5	0.2
C02	24-11-1982	0	12.9	-2.5	5.353	1.8	0.2
C02	25-11-1982	0	12.3	1.7	4.121	2.3	0.4
C02	26-11-1982	0	14.2	3.2	4.058	2.7	0.7
C02	27-11-1982	0	9.4	1.6	3.205	2.4	0.6
C02	28-11-1982	0	6.1	2.7	1.686	1.3	0.4
C02	29-11-1982	0.7	6	4	2.255	2	0.4
C02	30-11-1982	2.8	5.4	-1.6	2.789	2	0.3
C02	01-12-1982	3.8	3.8	2.6	0.42	1.9	0.6
C02	02-12-1982	3.6	5.3	2	1.502	2.3	0.3
C02	03-12-1982	0	4.6	1.4	2.569	1.1	0.2
C02	04-12-1982	0	4.3	0.8	1.525	1.5	0.4
C02	05-12-1982	0	1.1	-0.6	0.654	2	0.4
C02	06-12-1982	0	-0.4	-2.7	1.489	1.6	0.3
C02	07-12-1982	0	3.1	-3.4	2.386	0.9	0.2
C02	08-12-1982	0	10.4	0.2	3.438	0.9	0.2
C02	09-12-1982	0	8.9	1.8	2.652	3.8	0.7
C02	10-12-1982	1.3	12.3	5.7	2.475	3	0.8
C02	11-12-1982	13.9	3.5	0	1.446	2.1	0.4
C02	12-12-1982	0	2.2	-4	2.302	1.7	0.2
C02	13-12-1982	0.3	2.1	-0.9	1.159	1.3	0.4
C02	14-12-1982	0	2.8	-0.1	1.161	1.3	0.4
C02	15-12-1982	0	1.8	-1.4	1.135	1.7	0.5
C02	16-12-1982	1.4	6.5	-0.8	2.568	1.7	0.3
C02	17-12-1982	0	10.7	2.8	2.742	3	0.7
C02	18-12-1982	15.9	7.1	3.5	2.499	4.6	0.7
C02	19-12-1982	9.5	3.7	1.5	0.822	5.6	1.6
C02	20-12-1982	0	3	-3.6	2.349	2.5	0.3
C02	21-12-1982	16.3	5.2	1.4	2.105	3.2	0.7
C02	22-12-1982	5.5	1.9	-0.7	1.639	0.8	0.3
C02	23-12-1982	8.7	1.7	0	0.547	1.8	0.5
C02	24-12-1982	1.7	3.3	0.6	1.958	6	0.7
C02	25-12-1982	0.6	6.2	1.4	1.846	4.7	1.5
C02	26-12-1982	0	6.4	1.7	1.835	4.4	1.4
C02	27-12-1982	0	4.8	-4.3	3.065	1.3	0.2
C02	28-12-1982	0	8.1	-1	3.072	2.5	0.7
C02	29-12-1982	0	5.1	-1	2.297	3.3	1
C02	30-12-1982	0	3.5	-1.3	1.9	3.6	1.2
C02	31-12-1982	0	2.2	-6.5	3.059	1	0.3
C02	01-01-1983	0	2.2	-5	2.674	0.8	0.3
C02	02-01-1983	0	5.2	-3.4	3.0751	1.1	0.3
C02	03-01-1983	0	2.8	-1.6	1.8004	1.5	0.4
C02	04-01-1983	0	4.8	-0.4	2.4645	1.2	0.4
C02	05-01-1983	0.2	5	-1.7	2.6151	1.2	0.2
C02	06-01-1983	0	11.5	-0.1	3.939	1.4	0.3
C02	07-01-1983	0	6.1	-2.4	2.7257	1.2	0.3
C02	08-01-1983	0	4.8	0.8	1.8091	1.2	0.5
C02	09-01-1983	0	5.5	-4.1	3.565	1.6	0.3
C02	10-01-1983	0	5.1	-3.6	3.3628	1.3	0.4
C02	11-01-1983	0	9.5	-4.5	4.7176	1.3	0.3
C02	12-01-1983	0	6.2	-3.4	3.864	0.9	0.4
C02	13-01-1983	0	3.5	-5.2	3.4554	0.7	0.2
C02	14-01-1983	0	1.2	-4.9	2.8538	1.5	0.2
C02	15-01-1983	0.4	2.8	-2.2	2.979	1.5	0.3
C02	16-01-1983	5.1	5.6	-1.4	3.0516	2.8	0.4
C02	17-01-1983	0.2	11.8	2.3	3.9767	2.6	0.8
C02	18-01-1983	0	12.9	-0.3	4.9826	2.2	0.6
C02	19-01-1983	0	5.6	-2.5	3.5269	3.1	0.9
C02	20-01-1983	0	2.8	-4.3	3.3918	4.1	1.1
C02	21-01-1983	0	4.7	-4.7	4.204	1.8	0.7
C02	22-01-1983	0	10.4	-0.7	4.7495	2.5	0.8
C02	23-01-1983	0	5.3	-3.9	4.2675	1.3	0.3
C02	24-01-1983	0	4.4	-2.5	3.5876	1.3	0.4
C02	25-01-1983	0	4.5	-4.5	4.3584	1.4	0.3
C02	26-01-1983	0	8.6	-2.4	4.9851	1.1	0.4
C02	27-01-1983	0	12.1	1	5.1888	1.3	0.6
C02	28-01-1983	0	13.2	2.2	5.1526	1.7	0.7
C02	29-01-1983	0	10.1	2.5	4.18	1.1	0.6
C02	30-01-1983	0	11	1.3	4.9879	2.4	0.7
C02	31-01-1983	1.1	6.9	0.6	3.8798	3.7	1.4
C02	01-02-1983	0	8.3	-2.5	5.5432	2.8	0.9
C02	02-02-1983	0	7.5	-0.5	4.3707	2.9	1.1
C02	03-02-1983	0	4.2	-3.3	4.5556	1.9	0.8
C02	04-02-1983	0	4.7	-4.7	5.3783	3.6	1.1
C02	05-02-1983	0	2.8	-6.2	5.3388	3.8	1
C02	06-02-1983	1.3	1.7	-1.1	2.4668	3.4	0.9
C02	07-02-1983	1.6	1.5	-2.6	3.2487	1.3	0.4
C02	08-02-1983	0.9	3.3	-2.3	4.0751	1	0.5
C02	09-02-1983	4	4	-2.3	5.658	1.4	0.6
C02	10-02-1983	4.1	2.4	-4.7	4.7137	1.1	0.5
C02	11-02-1983	4.6	2.6	-2.3	4.2902	2	0.5
C02	12-02-1983	5.8	3.5	-2.7	5.0189	1.3	0.5
C02	13-02-1983	0	1.1	-2.5	3.3305	1	0.6
C02	14-02-1983	0.8	2.6	-2.6	4.9836	1.3	0.6
C02	15-02-1983	0.6	0.6	-4.3	4.2591	2.9	0.8
C02	16-02-1983	0	-3.6	-13.7	6.8191	2.1	0.5
C02	17-02-1983	0	-0.2	-9.4	6.9048	5.4	1
C02	18-02-1983	0	4.2	-7.4	7.6827	2	0.7
C02	19-02-1983	0	1.1	-8.1	6.7282	1.8	0.7
C02	20-02-1983	0	3.3	-6.1	7.1086	1.5	0.7
C02	21-02-1983	0	4.6	-8.8	8.881	2.7	0.8
C02	22-02-1983	0	-1.8	-10.1	6.7282	3.3	0.9
C02	23-02-1983	0	0.3	-15.4	10.064	1.2	0.5
C02	24-02-1983	0	2.5	-12.4	9.8843	1.3	0.6
C02	25-02-1983	0	2.5	-11.4	9.5983	2.2	0.7
C02	26-02-1983	0	5.9	-10.3	10.7098	2.2	0.7
C02	27-02-1983	0	6.5	-2.3	7.9525	1.4	0.8
C02	28-02-1983	0.4	8.3	0.4	7.2563	1.3	0.9
C02	01-03-1983	0	7.4	-1.8	8.0832	1.5	0.8
C02	02-03-1983	0	4.5	-1.8	6.6927	2.3	0.7
C02	03-03-1983	0	6.6	0.8	6.3556	2.4	1.1
C02	04-03-1983	0	4.3	-1.6	6.2441	1.9	1
C02	05-03-1983	0	9	-5.9	11.3369	1.3	1
